i'm 19 .	j'ai 19 ans .
she stabbed him .	elle l'a poignardé .
they are actors .	ils sont acteurs .
they are melons .	ce sont des melons .
they're all bad .	ils sont tous mauvais .
they're all bad .	elles sont toutes mauvaises .
they're amazing .	ils sont incroyables .
they're amazing .	elles sont incroyables .
they're animals .	ce sont des animaux .
they're arguing .	ils sont en train de se disputer .
they're arguing .	elles sont en train de se disputer .
they're cousins .	ils sont cousins .
they're cousins .	elles sont cousines .
they're dancing .	ils sont en train de danser .
they're dancing .	elles sont en train de danser .
they're doctors .	ils sont médecins .
they're doctors .	elles sont médecins .
they're jittery .	ils sont nerveux .
they're jittery .	elles sont nerveuses .
they're jittery .	ils ont la frousse .
they're jittery .	elles ont la frousse .
they're leaving .	ils partent .
they're leaving .	ils s'en vont .
they're not bad .	ils ne sont pas mal .
they're outside .	ils sont dehors .
they're outside .	ils sont à l'extérieur .
they're similar .	ils sont similaires .
they're similar .	elles sont similaires .
they're similar .	ils sont semblables .
they're similar .	elles sont semblables .
they're smiling .	ils sourient .
they're special .	ils sont spéciaux .
they're special .	elles sont spéciales .
they're staying .	ils restent .
they're staying .	elles restent .
they're talking .	ils parlent .
they're talking .	elles parlent .
they're too fat .	ils sont trop gros .
they're too fat .	ils sont trop gras .
they're too fat .	elles sont trop grosses .
they're too fat .	elles sont trop grasses .
they're useless .	ils sont inutiles .
they're useless .	elles sont inutiles .
they're with me .	ils sont avec moi .
we are brothers .	nous sommes frères .
we are students .	nous sommes étudiants .
we are teachers .	nous sommes enseignants .
we are teachers .	nous sommes enseignantes .
we are watching .	nous regardons .
we realize that .	nous en prenons conscience .
we respect them .	nous les respectons .
we're canadians .	nous sommes canadiens .
we're canadians .	nous sommes canadiennes .
we're adaptable .	nous sommes flexibles .
we're all alone .	nous sommes tous seuls .
we're all angry .	nous sommes tous en colère .
we're all angry .	nous sommes toutes en colère .
we're all armed .	nous sommes tous armés .
we're all armed .	nous sommes toutes armées .
we're all bored .	nous nous ennuyons tous .
we're all bored .	nous nous ennuyons toutes .
we're all crazy .	nous sommes tous dingues .
we're all crazy .	nous sommes toutes dingues .
we're all crazy .	nous sommes tous fous .
we're all crazy .	nous sommes toutes folles .
we're all dying .	nous sommes tous en train de mourir .
we're all going .	nous y allons tous .
we're ambitious .	nous sommes ambitieux .
we're ambitious .	nous sommes ambitieuses .
we're available .	nous sommes disponibles .
we're both fine .	nous allons bien tous les deux .
we're both fine .	nous allons bien toutes les deux .
we're comedians .	nous sommes comédiens .
we're committed .	nous sommes engagés .
we're committed .	nous sommes engagées .
we're confident .	nous avons confiance .
we're contented .	nous sommes satisfaits .
we're contented .	nous sommes satisfaites .
we're dedicated .	nous sommes dévoués .
we're dedicated .	nous sommes dévouées .
we're depressed .	nous sommes déprimés .
we're different .	nous sommes différents .
we're different .	nous sommes différentes .
we're done here .	nous en avons fini, ici .
we're fixing it .	nous sommes en train de le réparer .
we're flattered .	nous sommes flattés .
we're from here .	nous sommes d'ici .
we're gardeners .	nous sommes jardiniers .
we're gentlemen .	nous sommes des gentilshommes .
we're giving up .	nous abandonnons .
we're going now .	nous y allons maintenant .
we're going out .	nous sortons .
we're here, too .	nous aussi nous sommes là .
we're here, too .	nous aussi nous sommes ici .
we're in charge .	nous sommes en charge .
we're in charge .	c'est nous qui dirigeons .
we're in danger .	nous sommes en danger .
we're listening .	nous écoutons .
we're losing it .	nous sommes en train de perdre .
we're newcomers .	nous sommes des nouveaux-venus .
we're newcomers .	nous sommes des nouvelles-venues .
we're newlyweds .	nous sommes jeunes mariés .
we're not alone .	nous ne sommes pas seuls .
we're not alone .	nous ne sommes pas seules .
we're not fools .	nous ne sommes pas des imbéciles .
we're not fussy .	nous ne faisons pas de chichis .
we're not going .	nous n'y allons pas .
we're not going .	nous ne nous y rendons pas .
we're not going .	nous ne nous en allons pas .
we're not happy .	nous ne sommes pas contents .
we're not happy .	nous ne sommes pas contentes .
we're not happy .	nous ne sommes pas heureux .
we're not happy .	nous ne sommes pas heureuses .
we're not ready .	nous ne sommes pas prêtes .
we're not young .	nous ne sommes pas jeunes .
we're past that .	nous avons dépassé cela .
we're plastered .	nous sommes bourrés .
we're plastered .	nous sommes bourrées .
we're powerless .	nous sommes impuissants .
we're powerless .	nous sommes impuissantes .
we're prisoners .	nous sommes des prisonniers .
we're prisoners .	nous sommes des prisonnières .
we're ready now .	nous sommes prêts, désormais .
we're ready now .	nous sommes prêtes, désormais .
we're ready now .	nous sommes maintenant prêts .
we're ready now .	nous sommes maintenant prêtes .
we're realistic .	nous sommes réalistes .
we're resigning .	nous démissionnons .
we're resilient .	nous sommes endurants .
we're resilient .	nous sommes endurantes .
we're safe here .	nous sommes en sécurité, ici .
we're satisfied .	nous sommes satisfaits .
we're satisfied .	nous sommes satisfaites .
we're sensitive .	nous sommes sensibles .
we're separated .	nous sommes séparées .
we're separated .	nous sommes séparés .
we're surprised .	nous sommes surpris .
we're surprised .	nous sommes surprises .
we're surviving .	nous survivons .
we're survivors .	nous sommes des survivants .
we're survivors .	nous sommes des survivantes .
we're too close .	nos scores sont trop serrés .
we're too close .	nous sommes trop proches .
we're uninsured .	nous ne sommes pas assurés .
we're uninsured .	nous ne sommes pas assurées .
we're unrelated .	nous ne sommes pas apparentés .
we're unrelated .	nous ne sommes pas apparentées .
we're very busy .	nous sommes très occupés .
we're very busy .	nous sommes fort occupés .
we're very busy .	nous sommes très occupées .
you are naughty .	tu es vilain .
you are naughty .	vous êtes vilain .
you are naughty .	tu es vilaine .
you are naughty .	vous êtes vilaine .
you are tallest .	tu es le plus grand .
you're adorable .	tu es adorable .
you're adorable .	vous êtes adorable .
you're adorable .	vous êtes adorables .
you're all done .	vous êtes tous finis .
you're all done .	vous êtes toutes finies .
you're all mine .	vous êtes tous à moi .
you're all mine .	vous êtes toutes à moi .
you're an idiot .	tu es un idiot .
you're annoying .	t'es chiant .
you're annoying .	tu m'ennuies .
you're annoying .	tu es chiant .
you're annoying .	tu es chiante .
you're arrogant .	tu es arrogant .
you're arrogant .	tu es arrogante .
you're arrogant .	vous êtes arrogant .
you're arrogant .	vous êtes arrogante .
you're arrogant .	vous êtes arrogants .
you're arrogant .	vous êtes arrogantes .
you're blushing .	tu rougis !
you're careless .	tu es négligent .
you're careless .	tu es négligente .
you're charming .	tu es charmant .
you're charming .	tu es charmante .
you're charming .	vous êtes charmant .
you're charming .	vous êtes charmante .
you're charming .	vous êtes charmantes .
you're charming .	vous êtes charmants .
you're cheating .	tu triches .
you're cheating .	vous trichez .
you're confused .	tu es confus .
you're confused .	tu t'embrouilles .
you're creative .	tu es créatif .
you're creative .	tu es créative .
you're creative .	vous êtes créatif .
you're creative .	vous êtes créative .
you're creative .	vous êtes créatifs .
you're creative .	vous êtes créatives .
you're demented .	tu es fou .
you're demented .	vous êtes fous .
you're demented .	vous êtes dément .
you're disloyal .	vous êtes déloyal .
you're disloyal .	tu es déloyal .
you're disloyal .	tu es déloyale .
you're disloyal .	vous êtes déloyales .
you're disloyal .	vous êtes déloyale .
you're disloyal .	vous êtes déloyaux .
you're faithful .	tu es fidèle .
you're faithful .	vous êtes fidèle .
you're faithful .	vous êtes fidèles .
you're fearless .	tu es intrépide .
you're fearless .	vous êtes intrépide .
you're fearless .	vous êtes intrépides .
you're forgiven .	tu es excusé .
you're forgiven .	tu es pardonné .
you're forgiven .	tu es pardonnée .
you're forgiven .	vous êtes pardonné .
you're forgiven .	vous êtes pardonnée .
you're forgiven .	vous êtes pardonnés .
you're forgiven .	vous êtes pardonnées .
you're grounded .	tu es terre-à-terre .
you're grounded .	vous êtes terre-à-terre .
you're horrible .	vous êtes hideuses .
you're horrible .	vous êtes hideux .
you're mistaken .	vous vous trompez .
you're mistaken .	tu te trompes .
you're my enemy .	tu es mon ennemi .
you're my enemy .	vous êtes mon ennemi .
you're no saint .	tu n'es pas un saint .
you're no saint .	tu n'es pas une sainte .
you're no saint .	vous n'êtes pas un saint .
you're no saint .	vous n'êtes pas une sainte .
you're not dead .	tu n'es pas mort .
you're not dead .	tu n'es pas morte .
you're not dead .	vous n'êtes pas mort .
you're not dead .	vous n'êtes pas morte .
you're not dead .	vous n'êtes pas morts .
you're not dead .	vous n'êtes pas mortes .
you're not late .	tu n'es pas en retard .
you're not late .	vous n'êtes pas en retard .
you're not sick .	tu n'es pas malade .
you're not sick .	vous n'êtes pas malade .
you're not sick .	vous n'êtes pas malades .
you're outgoing .	tu es sociable .
you're pathetic .	tu es pathétique .
you're pathetic .	vous êtes pathétique .
you're pathetic .	vous êtes pathétiques .
you're powerful .	tu es puissant .
you're powerful .	vous êtes puissant .
you're powerful .	vous êtes puissants .
you're powerful .	vous êtes puissante .
you're powerful .	vous êtes puissantes .
you're punctual .	tu es ponctuel .
you're punctual .	tu es ponctuelle .
you're reliable .	tu es fiable .
you're reliable .	vous êtes fiable .
you're reliable .	vous êtes fiables .
you're restless .	tu es agité .
you're restless .	tu es agitée .
you're ruthless .	tu es sans pitié .
you're ruthless .	vous êtes sans pitié .
you're safe now .	tu es désormais en sécurité .
you're safe now .	vous êtes désormais en sécurité .
you're so bossy .	vous êtes tellement autoritaire !
you're so bossy .	tu es tellement autoritaire !
you're so picky .	tu es tellement difficile !
you're so picky .	vous êtes tellement difficile !
you're so picky .	vous êtes tellement difficiles !
you're so sweet .	tu es tellement gentil !
you're so sweet .	tu es tellement gentille !
you're so sweet .	tu es si gentil !
you're so sweet .	tu es si gentille !
you're so sweet .	vous êtes tellement gentil !
you're so sweet .	vous êtes si gentil !
you're so sweet .	vous êtes tellement gentille !
you're so sweet .	vous êtes si gentille !
you're so sweet .	vous êtes tellement gentils !
you're so sweet .	vous êtes si gentils !
you're so sweet .	vous êtes tellement gentilles !
you're so sweet .	vous êtes si gentilles !
you're so wrong .	tu as tellement tort .
you're so wrong .	vous avez tellement tort .
you're stalling .	tu temporises .
you're stalling .	vous temporisez .
you're stubborn .	tu es entêté .
you're stubborn .	tu es entêtée .
you're talented .	vous êtes talentueux .
you're talented .	vous êtes talentueuse .
you're talented .	vous êtes talentueuses .
you're talented .	tu es talentueux .
you're talented .	tu es talentueuse .
you're the best .	tu es le meilleur .
you're the best .	tu es la meilleure .
you're the best .	vous êtes le meilleur .
you're the best .	vous êtes la meilleure .
you're the boss .	vous êtes le chef .
you're too loud .	vous êtes trop bruyant .
you're too loud .	vous êtes trop bruyante .
you're too loud .	vous êtes trop bruyants .
you're too loud .	vous êtes trop bruyantes .
you're too loud .	tu es trop bruyant .
you're too loud .	tu es trop bruyante .
you're too slow .	vous êtes trop lent .
you're too slow .	vous êtes trop lente .
you're too slow .	vous êtes trop lents .
you're too slow .	vous êtes trop lentes .
you're too slow .	tu es trop lent .
you're too slow .	tu es trop lente .
you're too weak .	tu es trop faible .
he is distracted .	il est dans la lune .
he is photogenic .	il est photogénique .
he is well-liked .	il est bien apprécié .
he isn't married .	il n'est pas marié .
he isn't perfect .	il n'est pas parfait .
he scares easily .	il prend facilement peur .
he slept soundly .	il dormait profondément .
he speaks french .	il parle français .
he speaks french .	il parle le français .
i am dumbfounded .	je suis sidéré .
i'm tom's cousin .	je suis le cousin de tom .
i'm a shutterbug .	je suis un fondu de photo .
i'm all confused .	je suis très désorienté .
i'm all confused .	je suis très désorientée .
i'm already done .	j'ai déjà fini .
i'm already done .	j'ai déjà terminé .
i'm already rich .	je suis déjà riche .
i'm always happy .	je suis toujours heureux .
i'm always happy .	je suis toujours content .
i'm always happy .	je suis toujours heureuse .
i'm always happy .	je suis toujours contente .
i'm always moody .	je suis toujours de mauvaise humeur .
i'm ambidextrous .	je suis ambidextre .
i'm between jobs .	je suis entre deux emplois .
i'm between jobs .	je suis entre deux postes .
i'm between jobs .	je suis en train de changer de poste .
i'm confused now .	je suis paumé maintenant .
i'm disappointed .	je suis déçu .
i'm dissatisfied .	je ne suis pas content .
i'm dissatisfied .	je ne suis pas satisfait .
i'm eating lunch .	je déjeune .
i'm fairly happy .	je suis plutôt heureux .
i'm fairly happy .	je suis plutôt content .
i'm fairly happy .	je suis plutôt heureuse .
i'm fairly happy .	je suis plutôt contente .
i'm feeling good .	je me sens bien .
i'm freaking out .	je flippe .
i'm from america .	je viens d'amérique .
i'm from croatia .	je viens de croatie .
i'm from england .	je viens d'angleterre .
i'm from romania .	je viens de roumanie .
i'm happy enough .	je suis assez content .
i'm happy enough .	je suis assez heureux .
i'm happy enough .	je suis assez contente .
i'm happy enough .	je suis assez heureuse .
i'm homeschooled .	je suis scolarisé à la maison .
i'm homeschooled .	je suis scolarisée à la maison .
i'm housesitting .	je garde la maison .
i'm inviting you .	je vous invite .
i'm just curious .	je suis juste curieux .
i'm just curious .	je suis juste curieuse .
i'm just kidding .	je plaisante .
i'm just kidding .	je rigole .
i'm just looking .	je ne fais que regarder .
i'm killing time .	je tue le temps .
i'm no different .	je ne suis pas différent .
i'm no different .	je ne suis pas différente .
i'm not bluffing .	je suis sérieux .
i'm not bluffing .	je suis sérieuse .
i'm not blushing !	je ne rougis pas !
i'm not bragging .	je ne frime pas .
i'm not counting .	je ne suis pas en train de compter .
i'm not dreaming .	je ne suis pas en train de rêver .
i'm not fighting .	je ne suis pas en train de me battre .
i'm not finished .	je n'en ai pas terminé .
i'm not mistaken .	je ne fais pas erreur .
i'm not offended .	je ne me sens pas offensé .
i'm not offended .	je ne me sens pas offensée .
i'm not outgoing .	je ne suis pas extraverti .
i'm not outgoing .	je ne suis pas extravertie .
i'm not paranoid .	je ne suis pas paranoïaque .
i'm overreacting .	je sur-réagis .
i'm pretty angry .	je suis assez en colère .
i'm pretty happy .	je suis assez heureux .
i'm pretty happy .	je suis assez heureuse .
i'm real careful .	je suis vraiment prudent .
i'm real careful .	je suis vraiment prudente .
i'm really angry .	j'ai les glandes .
i'm really happy .	je suis vraiment heureux .
i'm really happy .	je suis vraiment heureuse .
i'm really happy .	je suis vraiment content .
i'm really happy .	je suis vraiment contente .
i'm really tired .	je suis vraiment fatigué .
i'm retired, too .	je suis également à la retraite .
i'm retired, too .	je suis également pensionné .
i'm retired, too .	je suis également pensionnée .
i'm retired, too .	je suis également à la pension .
i'm staying here .	je reste ici .
i'm still hungry .	j’ai toujours faim .
i'm still hungry .	j'ai encore faim .
i'm still single .	je suis toujours célibataire .
i'm still sleepy .	je suis encore endormi .
i'm still sleepy .	je suis encore endormie .
i'm still trying .	j'essaye toujours .
i'm stronger now .	je suis plus fort, désormais .
i'm super hungry .	j'ai super faim .
i'm very serious .	je suis très sérieux .
i'm very serious .	je suis très sérieuse .
i'm very thirsty .	j'ai très soif .
i'm very thirsty .	je meurs de soif .
i'm volunteering .	je me porte volontaire .
i'm volunteering .	je fais du bénévolat .
i'm watching you .	je t'observe .
i'm working here .	je travaille ici .
i'm your brother .	je suis ton frère .
i'm your partner .	je suis ton partenaire .
i'm your partner .	je suis votre partenaire .
she is easygoing .	elle est facile à vivre .
she is obstinate .	elle est obstinée .
she said goodbye .	elle a dit "au revoir" .
she spoke wisely .	elle a parlé avec sagesse .
she startled him .	elle l'a fait sursauter .
she studies hard .	elle étudie ardemment .
she surprised me .	elle m'a surpris .
they are russian .	ils sont russes .
they are russian .	elles sont russes .
they are arguing .	ils se disputent .
they are arguing .	ils sont en train de se disputer .
they are artists .	ils sont artistes .
they are artists .	elles sont artistes .
they are doctors .	ils sont médecins .
they are doctors .	elles sont médecins .
they are singers .	ils sont chanteurs .
they're all dead .	ils sont tous morts .
they're all dead .	ils sont tous décédés .
they're all dead .	elles sont toutes décédées .
they're all dead .	elles sont toutes mortes .
they're all fake .	ils sont tous faux .
they're all fake .	elles sont toutes fausses .
they're all gone .	ils sont tous partis .
they're all gone .	elles sont toutes parties .
they're all gone .	ils ont tous disparu .
they're all gone .	elles ont toutes disparu .
they're all here .	ils sont tous là .
they're all here .	elles sont toutes là .
they're all here .	ils sont tous ici .
they're all here .	elles sont toutes ici .
they're all mine .	ils sont tous à moi .
they're all mine .	elles sont toutes à moi .
they're all mine .	ce sont tous les miens .
they're all mine .	ce sont toutes les miennes .
they're all nuts .	ils sont tous dingues .
they're all nuts .	elles sont toutes dingues .
they're all safe .	ils sont tous en sécurité .
they're all safe .	elles sont toutes en sécurité .
they're not dead .	ils ne sont pas morts .
they're not dead .	elles ne sont pas mortes .
they're not evil .	ils ne sont pas mauvais .
they're not evil .	elles ne sont pas mauvaises .
they're not mine .	ce ne sont pas les miens .
they're so funny .	ils sont si drôles .
they're stalling .	ils sont en train de temporiser .
they're stalling .	ils sont en train de gagner du temps .
they're stalling .	elles sont en train de gagner du temps .
they're stalling .	elles sont en train de temporiser .
they're students .	ce sont des étudiants .
they're students .	ce sont des étudiantes .
they're students .	ce sont des élèves .
they're students .	elles sont étudiantes .
they're students .	ils sont étudiants .
they're traitors .	ce sont des traîtres .
we're all afraid .	nous avons tous peur .
we're all afraid .	nous avons toutes peur .
we're all hungry .	nous avons tous faim .
we're all hungry .	nous avons toutes faim .
we're all scared .	nous avons tous peur .
we're all scared .	nous avons toutes peur .
we're all single .	nous sommes tous célibataires .
we're all single .	nous sommes toutes célibataires .
we're all unique .	nous sommes tous uniques .
we're alone here .	nous sommes seuls ici .
we're alone here .	nous sommes seules ici .
we're astonished .	nous sommes stupéfaits .
we're back early .	nous sommes de retour tôt .
we're being used .	on nous exploite .
we're both right .	nous avons tous deux raison .
we're both right .	nous avons toutes deux raison .
we're both wrong .	nous avons tous deux tort .
we're both wrong .	nous avons toutes deux tort .
we're classmates .	nous sommes des copains de classe .
we're doing well .	nous nous en sortons pas mal .
we're downsizing .	nous réduisons la voilure .
we're getting it .	nous pigeons .
we're going back .	nous retournons en arrière .
we're going down .	nous descendons .
we're going east .	nous nous dirigeons vers l'est .
we're going east .	nous nous dirigeons à l'est .
we're going west .	nous nous dirigeons vers l'ouest .
we're going west .	nous nous dirigeons à l'ouest .
we're half right .	nous avons à moitié raison .
we're having fun .	nous nous amusons .
we're here alone .	nous sommes ici seuls .
we're here alone .	nous sommes ici seules .
we're here early .	nous sommes là tôt .
we're home early .	nous sommes tôt à la maison .
we're in college .	nous sommes à la fac .
we're in control .	nous contrôlons la situation .
we're in trouble .	nous sommes dans le pétrin .
we're in trouble .	on est dans le pétrin .
we're just lucky .	nous sommes juste chanceux .
we're just tired .	nous sommes juste fatigués .
we're just tired .	nous sommes juste fatiguées .
we're lifeguards .	nous sommes sauveteurs .
we're meditating .	nous sommes en train de méditer .
we're not buying .	nous ne sommes pas en train d'acheter .
we're not dating .	nous ne sortons pas ensemble .
we're not dating .	nous ne fricotons pas .
we're not eating .	nous ne sommes pas en train de manger .
we're not family .	nous ne sommes pas de la même famille .
we're not guilty .	nous ne sommes pas coupables .
we're not moving .	nous ne sommes pas en train de bouger .
we're not needed .	on n'a pas besoin de nous .
we're not stupid .	nous ne sommes pas idiots .
we're not stupid .	nous ne sommes pas idiotes .
we're prejudiced .	nous avons des préjugés .
we're right here .	nous sommes juste là .
we're speechless .	nous sommes sans voix .
we're still here .	nous sommes encore ici .
we're successful .	nous connaissons la réussite .
we're surrounded .	nous sommes cernés .
we're taking off .	nous sommes en train de décoller .
we're the owners .	nous sommes les propriétaires .
we're undressing .	nous nous déshabillons .
we're undressing .	nous sommes en train de nous déshabiller .
we're unemployed .	nous sommes sans emploi .
we're unemployed .	nous sommes dépourvus d'emplois .
we're untalented .	nous sommes dépourvus de talent .
we're untalented .	nous sommes dépourvues de talent .
we're very close .	nos scores sont très serrés .
we're very close .	nous sommes très proches .
we're very happy .	nous sommes très heureux .
you are blushing .	tu rougis !
you are children .	vous êtes des enfants .
you are deranged .	tu es dérangé .
you are dreaming .	tu es en train de rêver .
you are dreaming .	vous êtes en train de rêver .
you are fabulous .	tu es fabuleux .
you are fabulous .	tu es fabuleuse .
you are gorgeous .	tu es splendide .
you are gorgeous .	vous êtes splendide .
you are hopeless .	tu es impossible .
you are hopeless .	tu es incorrigible .
you aren't wrong .	t'as pas tort .
you're a traitor .	tu es un traître .
you're a traitor .	vous êtes un traître .
you're a traitor .	tu es une traîtresse .
you're a traitor .	vous êtes une traîtresse .
you're all alone .	vous êtes tous seuls .
you're all alone .	vous êtes toutes seules .
you're all alone .	tu es tout seul .
you're all alone .	tu es toute seule .
you're all alone .	vous êtes tout seul .
you're all alone .	vous êtes toute seule .
you're all crazy .	vous êtes tous fous .
you're all crazy .	vous êtes toutes folles .
you're all happy .	vous êtes tous contents .
you're all happy .	vous êtes toutes contentes .
you're all happy .	vous êtes tous heureux .
you're all happy .	vous êtes toutes heureuses .
you're all happy .	vous êtes tous satisfaits .
you're all happy .	vous êtes toutes satisfaites .
you're all right .	tu vas bien .
you're all right .	vous allez bien .
you're ambitious .	tu es ambitieuse .
you're ambitious .	tu es ambitieux .
you're ambitious .	vous êtes ambitieux .
you're ambitious .	vous êtes ambitieuses .
you're ambitious .	vous êtes ambitieuse .
you're assertive .	tu te fais comprendre .
you're assertive .	tu sais te faire comprendre .
you're assertive .	vous savez vous faire comprendre .
you're beautiful .	tu es beau .
you're beautiful .	vous êtes belle .
you're beautiful .	vous êtes beaux .
you're beautiful .	vous êtes belles .
you're conceited .	tu es suffisant .
you're conceited .	tu es suffisante .
you're conceited .	vous êtes suffisant .
you're conceited .	vous êtes suffisante .
you're conceited .	vous êtes suffisants .
you're conceited .	vous êtes suffisantes .
you're courteous .	tu es courtois .
you're courteous .	tu es courtoise .
you're courteous .	vous êtes courtois .
you're courteous .	vous êtes courtoise .
you're courteous .	vous êtes courtoises .
you're exhausted .	tu es épuisée .
you're exhausted .	vous êtes épuisés .
you're exhausted .	vous êtes épuisées .
you're forgetful .	tu es distrait .
you're forgetful .	tu es distraite .
you're forgetful .	tu es oublieux .
you're forgetful .	tu es oublieuse .
you're forgetful .	tu es étourdi .
you're forgetful .	tu es étourdie .
you're fortunate .	tu as de la chance .
you're fortunate .	tu es chanceux .
you're fortunate .	tu es chanceuse .
you're fortunate .	vous êtes chanceux .
you're fortunate .	vous êtes chanceuse .
you're fortunate .	vous êtes chanceuses .
you're impatient .	tu es impatient .
you're impatient .	tu es impatiente .
you're in danger .	tu es en danger .
you're in danger .	vous êtes en danger .
you're my friend .	tu es mon amie .
you're no doctor .	vous n'êtes pas médecin .
you're no doctor .	tu n'es pas médecin .
you're no singer .	vous n'êtes pas chanteur .
you're no singer .	vous n'êtes pas chanteuse .
you're no singer .	tu n'es pas chanteur .
you're no singer .	tu n'es pas chanteuse .
you're not alone .	tu n'es pas seul .
you're not alone .	tu n'es pas seule .
you're not alone .	vous n'êtes pas seul .
you're not alone .	vous n'êtes pas seuls .
you're not alone .	vous n'êtes pas seules .
you're not alone .	vous n'êtes pas seule .
you're not dying .	vous n'êtes pas mourant .
you're not fired .	tu n'es pas viré .
you're not fired .	tu n'es pas virée .
you're not fired .	vous n'êtes pas viré .
you're not fired .	vous n'êtes pas virés .
you're not fired .	vous n'êtes pas virée .
you're not fired .	vous n'êtes pas virées .
you're obnoxious .	tu es odieux .
you're obnoxious .	tu es odieuse .
you're obnoxious .	vous êtes odieux .
you're obnoxious .	vous êtes odieuse .
you're obnoxious .	vous êtes odieuses .
you're observant .	tu as le sens de l'observation .
you're powerless .	tu es dépourvu de pouvoir .
you're powerless .	tu es dépourvue de pouvoir .
you're resilient .	tu es tenace .
you're resilient .	vous êtes tenace .
you're resilient .	vous êtes tenaces .
you're resilient .	vous êtes endurants .
you're resilient .	vous êtes endurantes .
you're resilient .	vous êtes endurant .
you're resilient .	vous êtes endurante .
you're resilient .	tu es endurant .
you're resilient .	tu es endurante .
you're shivering .	tu frissonnes .
you're so pretty .	tu es tellement mignonne .
you're talkative .	tu es bavard .
you're talkative .	tu es bavarde .
you're talkative .	vous êtes bavard .
you're talkative .	vous êtes bavarde .
you're talkative .	vous êtes bavards .
you're talkative .	vous êtes bavardes .
you're too naive .	tu es trop naïve .
you're too tense .	tu es trop tendu .
you're too tense .	tu es trop tendue .
you're too tense .	vous êtes trop tendu .
you're too tense .	vous êtes trop tendue .
you're too tense .	vous êtes trop tendus .
you're too tense .	vous êtes trop tendues .
you're unethical .	tu es immoral .
you're unethical .	tu es immorale .
you're very busy .	tu es fort occupé .
you're very busy .	tu es fort occupée .
you're very busy .	tu es très occupé .
you're very busy .	tu es très occupée .
you're very busy .	vous êtes très occupé .
you're very busy .	vous êtes très occupée .
you're very busy .	vous êtes très occupés .
you're very busy .	vous êtes très occupées .
you're very busy .	vous êtes fort occupé .
you're very busy .	vous êtes fort occupée .
you're very busy .	vous êtes fort occupés .
you're very busy .	vous êtes fort occupées .
you're very good .	vous êtes très bonne .
you're very good .	vous êtes très bonnes .
you're very good .	vous êtes fort bonne .
you're very good .	vous êtes fort bonnes .
you're very good .	vous êtes fort bon .
you're very good .	vous êtes fort bons .
you're very good .	vous êtes très bon .
you're very good .	vous êtes très bons .
you're very good .	tu es très bon .
you're very good .	tu es fort bon .
you're very good .	tu es très bonne .
you're very good .	tu es fort bonne .
you're very late .	vous êtes en retard .
you're very nice .	vous êtes très gentille .
you're very nice .	tu es très chouette .
you're very nice .	tu es très gentil .
you're very nice .	tu es très gentille .
you're very nice .	vous êtes très gentil .
you're very nice .	vous êtes très gentils .
you're very nice .	vous êtes très gentilles .
you're very nice .	vous êtes très chouette .
you're very nice .	vous êtes très chouettes .
you're very open .	tu es très ouvert .
you're very open .	tu es très ouverte .
you're very open .	vous êtes très ouvert .
you're very open .	vous êtes très ouverts .
you're very open .	vous êtes très ouverte .
you're very open .	vous êtes très ouvertes .
you're very rude .	tu es très grossier .
you're very rude .	tu es fort grossier .
you're very rude .	tu es fort grossière .
you're very rude .	tu es très grossière .
you're very rude .	vous êtes fort grossière .
you're very rude .	vous êtes très grossière .
you're very rude .	vous êtes fort grossières .
you're very rude .	vous êtes très grossières .
you're very rude .	vous êtes très grossier .
you're very rude .	vous êtes fort grossier .
you're very rude .	vous êtes très grossiers .
you're very rude .	vous êtes fort grossiers .
you're very tall .	tu es très grand .
you're very tall .	tu es très grande .
you're very tall .	vous êtes très grand .
you're very tall .	vous êtes très grande .
you're very tall .	vous êtes très grands .
you're very tall .	vous êtes très grandes .
you're very wise .	tu es très sage .
you're very wise .	tu es très avisé .
you're very wise .	tu es fort avisé .
you're very wise .	tu es très avisée .
you're very wise .	tu es fort avisée .
you're very wise .	tu es fort sage .
you're very wise .	vous êtes très sage .
you're very wise .	vous êtes fort sage .
you're very wise .	vous êtes très sages .
you're very wise .	vous êtes fort sages .
you're very wise .	vous êtes très avisé .
you're very wise .	vous êtes très avisée .
you're very wise .	vous êtes très avisés .
you're very wise .	vous êtes très avisées .
you're very wise .	vous êtes fort avisé .
you're very wise .	vous êtes fort avisée .
you're very wise .	vous êtes fort avisés .
you're very wise .	vous êtes fort avisées .
you're wonderful .	tu es merveilleux .
you're wonderful .	tu es merveilleuse .
you're wonderful .	vous êtes merveilleux .
you're wonderful .	vous êtes merveilleuse .
you're wonderful .	vous êtes merveilleuses .
he is incompetent .	il est incompétent .
he is influential .	il est influent .
he is intelligent .	il est intelligent .
he is introverted .	il est introverti .
he is unrealistic .	il est irréaliste .
he saw everything .	il a tout vu .
he saw everything .	il vit tout .
he speaks chinese .	il parle chinois .
he speaks chinese .	il parle le chinois .
he speaks english .	il parle anglais .
he speaks russian .	il parle russe .
he speaks russian .	il parle le russe .
he speaks quickly .	il parle vite .
i'm canadian, too .	je suis canadien, moi aussi .
i'm a salesperson .	je suis un vendeur .
i'm already bored .	je m'ennuie déjà .
i'm always hungry .	j'ai toujours faim .
i'm awfully tired .	je suis terriblement fatigué .
i'm awfully tired .	je suis terriblement fatiguée .
i'm being careful .	je fais attention .
i'm being patient .	je fais montre de patience .
i'm being serious .	je suis sérieux .
i'm being serious .	je suis sérieuse .
i'm being watched .	je suis observé .
